2022-09-06 17:10:04, tb_device_mqtt INFO Trying to connect to 10.60.3.26...
2022-09-06 17:10:04, tb_device_mqtt INFO connection SUCCESS
2022-09-06 17:10:04, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes - successfully completed.
2022-09-06 17:10:04, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes/response - successfully completed.
2022-09-06 17:10:04, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/rpc - successfully completed.
2022-09-06 17:10:05, tb_gateway_mqtt DEBUG Connected device Bus A1
2022-09-06 17:10:10, __main__ INFO Publish Bus A1 Attribute - Color
2022-09-06 17:10:15, __main__ INFO Read Telemetry CSV. Total Record: 578
2022-09-06 17:10:21, __main__ DEBUG 0) Bus A1 {'ts': 1662455421371, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': '79.3', 'temp': '21.0'}}
2022-09-06 17:10:32, __main__ DEBUG 11) Bus A1 {'ts': 1662455432472, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29393', 'longitude': '103.76907', 'occupancy': '71.0', 'temp': '24.1'}}
2022-09-06 17:10:33, __main__ DEBUG 12) Bus A1 {'ts': 1662455433490, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29397', 'longitude': '103.76909', 'occupancy': '71.8', 'temp': '22.1'}}
2022-09-06 17:10:34, __main__ DEBUG 13) Bus A1 {'ts': 1662455434496, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29406', 'longitude': '103.76916', 'occupancy': '82.2', 'temp': '20.1'}}
2022-09-06 17:10:35, __main__ DEBUG 14) Bus A1 {'ts': 1662455435519, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29414', 'longitude': '103.76921', 'occupancy': '70.3', 'temp': '22.1'}}
2022-09-06 17:10:36, __main__ DEBUG 15) Bus A1 {'ts': 1662455436527, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29425', 'longitude': '103.76927', 'occupancy': '88.0', 'temp': '22.5'}}
2022-09-06 17:10:37, __main__ DEBUG 16) Bus A1 {'ts': 1662455437531, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29429', 'longitude': '103.76929', 'occupancy': '77.3', 'temp': '20.1'}}
2022-09-06 17:10:38, __main__ DEBUG 17) Bus A1 {'ts': 1662455438534, 'values': {'status': 'on route', 'fuel': '80', 'speed': '52', 'latitude': '1.29453', 'longitude': '103.76939', 'occupancy': '87.3', 'temp': '24.0'}}
2022-09-06 17:10:39, __main__ DEBUG 18) Bus A1 {'ts': 1662455439560, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29474', 'longitude': '103.76945', 'occupancy': '86.0', 'temp': '22.2'}}
2022-09-06 17:10:40, __main__ DEBUG 19) Bus A1 {'ts': 1662455440567, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.2949', 'longitude': '103.76949', 'occupancy': '68.8', 'temp': '24.9'}}
2022-09-06 17:10:41, __main__ DEBUG 20) Bus A1 {'ts': 1662455441580, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29497', 'longitude': '103.7695', 'occupancy': '57.0', 'temp': '22.8'}}
2022-09-06 17:10:42, __main__ DEBUG 21) Bus A1 {'ts': 1662455442591, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.2953', 'longitude': '103.76954', 'occupancy': '50.7', 'temp': '24.3'}}
2022-09-06 17:10:43, __main__ DEBUG 22) Bus A1 {'ts': 1662455443600, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29556', 'longitude': '103.76957', 'occupancy': '70.7', 'temp': '21.3'}}
2022-09-06 17:10:44, __main__ DEBUG 23) Bus A1 {'ts': 1662455444602, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29605', 'longitude': '103.76958', 'occupancy': '52.7', 'temp': '25.3'}}
2022-09-06 17:10:45, __main__ DEBUG 24) Bus A1 {'ts': 1662455445606, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29614', 'longitude': '103.76959', 'occupancy': '75.9', 'temp': '25.1'}}
2022-09-06 17:10:46, __main__ DEBUG 25) Bus A1 {'ts': 1662455446619, 'values': {'status': 'on route', 'fuel': '80', 'speed': '52', 'latitude': '1.29614', 'longitude': '103.76972', 'occupancy': '88.0', 'temp': '22.0'}}
2022-09-06 17:10:47, __main__ DEBUG 26) Bus A1 {'ts': 1662455447623, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29619', 'longitude': '103.76998', 'occupancy': '66.8', 'temp': '24.5'}}
2022-09-06 17:10:48, __main__ DEBUG 27) Bus A1 {'ts': 1662455448628, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29634', 'longitude': '103.77049', 'occupancy': '61.0', 'temp': '20.1'}}
2022-09-06 17:10:49, __main__ DEBUG 28) Bus A1 {'ts': 1662455449634, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29636', 'longitude': '103.77063', 'occupancy': '77.0', 'temp': '24.4'}}
2022-09-06 17:10:50, __main__ DEBUG 29) Bus A1 {'ts': 1662455450642, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29637', 'longitude': '103.77071', 'occupancy': '83.1', 'temp': '22.3'}}
2022-09-06 17:10:51, __main__ DEBUG 30) Bus A1 {'ts': 1662455451645, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29638', 'longitude': '103.77096', 'occupancy': '87.7', 'temp': '23.3'}}
2022-09-06 17:10:52, __main__ DEBUG 31) Bus A1 {'ts': 1662455452651, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29631', 'longitude': '103.77095', 'occupancy': '77.2', 'temp': '20.1'}}
2022-09-06 17:10:53, __main__ DEBUG 32) Bus A1 {'ts': 1662455453658, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29618', 'longitude': '103.77093', 'occupancy': '76.3', 'temp': '23.8'}}
2022-09-06 17:10:54, __main__ DEBUG 33) Bus A1 {'ts': 1662455454665, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29605', 'longitude': '103.77092', 'occupancy': '78.2', 'temp': '22.1'}}
2022-09-06 17:10:55, __main__ DEBUG 34) Bus A1 {'ts': 1662455455677, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29588', 'longitude': '103.77089', 'occupancy': '60.9', 'temp': '22.8'}}
2022-09-06 17:10:56, __main__ DEBUG 35) Bus A1 {'ts': 1662455456689, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29579', 'longitude': '103.77086', 'occupancy': '50.5', 'temp': '23.5'}}
2022-09-06 17:10:57, __main__ DEBUG 36) Bus A1 {'ts': 1662455457693, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29573', 'longitude': '103.77085', 'occupancy': '65.8', 'temp': '24.7'}}
2022-09-06 17:10:58, __main__ DEBUG 37) Bus A1 {'ts': 1662455458703, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29565', 'longitude': '103.77081', 'occupancy': '73.2', 'temp': '22.7'}}
2022-09-06 17:10:59, __main__ DEBUG 38) Bus A1 {'ts': 1662455459718, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29554', 'longitude': '103.77075', 'occupancy': '50.9', 'temp': '21.6'}}
2022-09-06 17:11:00, __main__ DEBUG 39) Bus A1 {'ts': 1662455460734, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29545', 'longitude': '103.7707', 'occupancy': '82.8', 'temp': '22.2'}}
2022-09-06 17:11:01, __main__ DEBUG 40) Bus A1 {'ts': 1662455461742, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29531', 'longitude': '103.77063', 'occupancy': '80.2', 'temp': '23.0'}}
2022-09-06 17:11:02, __main__ DEBUG 41) Bus A1 {'ts': 1662455462760, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29517', 'longitude': '103.77058', 'occupancy': '89.6', 'temp': '25.3'}}
2022-09-06 17:11:03, __main__ DEBUG 42) Bus A1 {'ts': 1662455463777, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29507', 'longitude': '103.77057', 'occupancy': '87.6', 'temp': '23.6'}}
2022-09-06 17:11:04, __main__ DEBUG 43) Bus A1 {'ts': 1662455464788, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.295', 'longitude': '103.77056', 'occupancy': '55.0', 'temp': '23.1'}}
2022-09-06 17:11:05, __main__ DEBUG 44) Bus A1 {'ts': 1662455465807, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29494', 'longitude': '103.77055', 'occupancy': '81.8', 'temp': '20.4'}}
2022-09-06 17:11:06, __main__ DEBUG 45) Bus A1 {'ts': 1662455466816, 'values': {'status': 'on route', 'fuel': '80', 'speed': '52', 'latitude': '1.29487', 'longitude': '103.77055', 'occupancy': '82.7', 'temp': '23.0'}}
2022-09-06 17:11:07, __main__ DEBUG 46) Bus A1 {'ts': 1662455467826, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.2948', 'longitude': '103.77055', 'occupancy': '66.2', 'temp': '22.5'}}
2022-09-06 17:11:08, __main__ DEBUG 47) Bus A1 {'ts': 1662455468840, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29472', 'longitude': '103.77056', 'occupancy': '66.2', 'temp': '24.0'}}
2022-09-06 17:11:09, __main__ DEBUG 48) Bus A1 {'ts': 1662455469846, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29464', 'longitude': '103.77056', 'occupancy': '74.8', 'temp': '25.5'}}
2022-09-06 17:11:10, __main__ DEBUG 49) Bus A1 {'ts': 1662455470853, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.2946', 'longitude': '103.77057', 'occupancy': '70.3', 'temp': '20.8'}}
2022-09-06 17:11:11, __main__ DEBUG 50) Bus A1 {'ts': 1662455471866, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29456', 'longitude': '103.77057', 'occupancy': '69.4', 'temp': '23.6'}}
2022-09-06 17:11:12, __main__ DEBUG 51) Bus A1 {'ts': 1662455472877, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29451', 'longitude': '103.77059', 'occupancy': '77.5', 'temp': '20.4'}}
2022-09-06 17:11:13, __main__ DEBUG 52) Bus A1 {'ts': 1662455473884, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29446', 'longitude': '103.7706', 'occupancy': '50.6', 'temp': '24.4'}}
2022-09-06 17:11:14, __main__ DEBUG 53) Bus A1 {'ts': 1662455474888, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29444', 'longitude': '103.7706', 'occupancy': '66.4', 'temp': '25.4'}}
2022-09-06 17:11:15, __main__ DEBUG 54) Bus A1 {'ts': 1662455475905, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29442', 'longitude': '103.77061', 'occupancy': '74.6', 'temp': '25.4'}}
2022-09-06 17:11:16, __main__ DEBUG 55) Bus A1 {'ts': 1662455476914, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29437', 'longitude': '103.77063', 'occupancy': '84.6', 'temp': '23.5'}}
2022-09-06 17:11:17, __main__ DEBUG 56) Bus A1 {'ts': 1662455477918, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29419', 'longitude': '103.7707', 'occupancy': '85.7', 'temp': '24.8'}}
2022-09-06 17:11:18, __main__ DEBUG 57) Bus A1 {'ts': 1662455478936, 'values': {'status': 'on route', 'fuel': '80', 'speed': '54', 'latitude': '1.29402', 'longitude': '103.77081', 'occupancy': '77.6', 'temp': '21.0'}}
2022-09-06 17:11:19, __main__ DEBUG 58) Bus A1 {'ts': 1662455479951, 'values': {'status': 'on route', 'fuel': '80', 'speed': '54', 'latitude': '1.29388', 'longitude': '103.77093', 'occupancy': '64.1', 'temp': '22.5'}}
2022-09-06 17:11:20, __main__ DEBUG 59) Bus A1 {'ts': 1662455480975, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29375', 'longitude': '103.77107', 'occupancy': '80.9', 'temp': '20.1'}}
2022-09-06 17:11:21, __main__ DEBUG 60) Bus A1 {'ts': 1662455481991, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29366', 'longitude': '103.7712', 'occupancy': '74.3', 'temp': '25.1'}}
2022-09-06 17:11:23, __main__ DEBUG 61) Bus A1 {'ts': 1662455483005, 'values': {'status': 'on route', 'fuel': '80', 'speed': '54', 'latitude': '1.29363', 'longitude': '103.77126', 'occupancy': '89.7', 'temp': '22.9'}}
2022-09-06 17:11:24, __main__ DEBUG 62) Bus A1 {'ts': 1662455484029, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29358', 'longitude': '103.77135', 'occupancy': '70.6', 'temp': '22.5'}}
2022-09-06 17:11:25, __main__ DEBUG 63) Bus A1 {'ts': 1662455485034, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29352', 'longitude': '103.77149', 'occupancy': '85.2', 'temp': '25.0'}}
2022-09-06 17:11:26, __main__ DEBUG 64) Bus A1 {'ts': 1662455486051, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29351', 'longitude': '103.77155', 'occupancy': '60.7', 'temp': '23.4'}}
2022-09-06 17:11:27, __main__ DEBUG 65) Bus A1 {'ts': 1662455487063, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29349', 'longitude': '103.77161', 'occupancy': '54.5', 'temp': '21.6'}}
2022-09-06 17:11:28, __main__ DEBUG 66) Bus A1 {'ts': 1662455488073, 'values': {'status': 'on route', 'fuel': '80', 'speed': '58', 'latitude': '1.29347', 'longitude': '103.7717', 'occupancy': '74.9', 'temp': '23.4'}}
2022-09-06 17:11:29, __main__ DEBUG 67) Bus A1 {'ts': 1662455489085, 'values': {'status': 'on route', 'fuel': '80', 'speed': '54', 'latitude': '1.29345', 'longitude': '103.7718', 'occupancy': '83.8', 'temp': '20.8'}}
2022-09-06 17:11:30, __main__ DEBUG 68) Bus A1 {'ts': 1662455490096, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29343', 'longitude': '103.77193', 'occupancy': '82.7', 'temp': '24.9'}}
2022-09-06 17:11:31, __main__ DEBUG 69) Bus A1 {'ts': 1662455491113, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.2934', 'longitude': '103.77219', 'occupancy': '53.1', 'temp': '24.5'}}
2022-09-06 17:11:32, __main__ DEBUG 70) Bus A1 {'ts': 1662455492127, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.2936', 'longitude': '103.77216', 'occupancy': '82.5', 'temp': '21.0'}}
2022-09-06 17:11:33, __main__ DEBUG 71) Bus A1 {'ts': 1662455493129, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29377', 'longitude': '103.77222', 'occupancy': '79.8', 'temp': '23.6'}}
2022-09-06 17:11:34, __main__ DEBUG 72) Bus A1 {'ts': 1662455494148, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.29387', 'longitude': '103.77227', 'occupancy': '56.0', 'temp': '22.2'}}
2022-09-06 17:11:35, __main__ DEBUG 73) Bus A1 {'ts': 1662455495159, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29396', 'longitude': '103.77234', 'occupancy': '57.5', 'temp': '21.7'}}
2022-09-06 17:11:36, __main__ DEBUG 74) Bus A1 {'ts': 1662455496162, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29401', 'longitude': '103.77239', 'occupancy': '82.3', 'temp': '24.6'}}
2022-09-06 17:11:37, __main__ DEBUG 75) Bus A1 {'ts': 1662455497168, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29406', 'longitude': '103.77246', 'occupancy': '53.4', 'temp': '25.5'}}
2022-09-06 17:11:38, __main__ DEBUG 76) Bus A1 {'ts': 1662455498186, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29415', 'longitude': '103.77259', 'occupancy': '66.0', 'temp': '24.0'}}
2022-09-06 17:11:39, __main__ DEBUG 77) Bus A1 {'ts': 1662455499191, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29421', 'longitude': '103.77266', 'occupancy': '64.6', 'temp': '22.1'}}
2022-09-06 17:11:40, __main__ DEBUG 78) Bus A1 {'ts': 1662455500205, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29427', 'longitude': '103.77271', 'occupancy': '73.5', 'temp': '25.0'}}
2022-09-06 17:11:41, __main__ DEBUG 79) Bus A1 {'ts': 1662455501215, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29431', 'longitude': '103.77274', 'occupancy': '54.8', 'temp': '21.9'}}
2022-09-06 17:11:42, __main__ DEBUG 80) Bus A1 {'ts': 1662455502217, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29434', 'longitude': '103.77276', 'occupancy': '81.2', 'temp': '20.1'}}
2022-09-06 17:11:43, __main__ DEBUG 81) Bus A1 {'ts': 1662455503229, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29462', 'longitude': '103.77289', 'occupancy': '61.3', 'temp': '20.8'}}
2022-09-06 17:11:44, __main__ DEBUG 82) Bus A1 {'ts': 1662455504251, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29483', 'longitude': '103.77296', 'occupancy': '70.1', 'temp': '23.0'}}
2022-09-06 17:11:45, __main__ DEBUG 83) Bus A1 {'ts': 1662455505273, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29488', 'longitude': '103.773', 'occupancy': '66.0', 'temp': '21.5'}}
2022-09-06 17:11:46, __main__ DEBUG 84) Bus A1 {'ts': 1662455506284, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29493', 'longitude': '103.77304', 'occupancy': '79.3', 'temp': '22.6'}}
2022-09-06 17:11:47, __main__ DEBUG 85) Bus A1 {'ts': 1662455507288, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29497', 'longitude': '103.7731', 'occupancy': '63.5', 'temp': '23.2'}}
2022-09-06 17:11:48, __main__ DEBUG 86) Bus A1 {'ts': 1662455508295, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29501', 'longitude': '103.77318', 'occupancy': '74.5', 'temp': '22.6'}}
2022-09-06 17:11:49, __main__ DEBUG 87) Bus A1 {'ts': 1662455509305, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29501', 'longitude': '103.77323', 'occupancy': '72.1', 'temp': '23.2'}}
2022-09-06 17:11:50, __main__ DEBUG 88) Bus A1 {'ts': 1662455510315, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.295', 'longitude': '103.77327', 'occupancy': '56.6', 'temp': '25.0'}}
2022-09-06 17:11:51, __main__ DEBUG 89) Bus A1 {'ts': 1662455511316, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29499', 'longitude': '103.77335', 'occupancy': '72.0', 'temp': '25.2'}}
2022-09-06 17:11:52, __main__ DEBUG 90) Bus A1 {'ts': 1662455512326, 'values': {'status': 'on route', 'fuel': '80', 'speed': '52', 'latitude': '1.29497', 'longitude': '103.77344', 'occupancy': '75.6', 'temp': '22.4'}}
2022-09-06 17:11:53, __main__ DEBUG 91) Bus A1 {'ts': 1662455513329, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29493', 'longitude': '103.7735', 'occupancy': '87.9', 'temp': '23.8'}}
2022-09-06 17:11:54, __main__ DEBUG 92) Bus A1 {'ts': 1662455514344, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29487', 'longitude': '103.77355', 'occupancy': '63.8', 'temp': '20.0'}}
2022-09-06 17:11:55, __main__ DEBUG 93) Bus A1 {'ts': 1662455515354, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29454', 'longitude': '103.77385', 'occupancy': '87.0', 'temp': '23.1'}}
2022-09-06 17:11:56, __main__ DEBUG 94) Bus A1 {'ts': 1662455516367, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29452', 'longitude': '103.77386', 'occupancy': '71.1', 'temp': '21.5'}}
2022-09-06 17:11:57, __main__ DEBUG 95) Bus A1 {'ts': 1662455517378, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.2945', 'longitude': '103.77387', 'occupancy': '78.3', 'temp': '25.4'}}
2022-09-06 17:11:58, __main__ DEBUG 96) Bus A1 {'ts': 1662455518389, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29448', 'longitude': '103.77386', 'occupancy': '79.4', 'temp': '24.1'}}
2022-09-06 17:11:59, __main__ DEBUG 97) Bus A1 {'ts': 1662455519394, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29446', 'longitude': '103.77386', 'occupancy': '74.4', 'temp': '20.7'}}
2022-09-06 17:12:00, __main__ DEBUG 98) Bus A1 {'ts': 1662455520399, 'values': {'status': 'on route', 'fuel': '80', 'speed': '51', 'latitude': '1.29444', 'longitude': '103.77385', 'occupancy': '64.6', 'temp': '20.1'}}
2022-09-06 17:12:01, __main__ DEBUG 99) Bus A1 {'ts': 1662455521412, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29442', 'longitude': '103.77384', 'occupancy': '85.6', 'temp': '23.3'}}
2022-09-06 17:12:02, __main__ DEBUG 100) Bus A1 {'ts': 1662455522415, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.29441', 'longitude': '103.77383', 'occupancy': '54.2', 'temp': '22.9'}}
2022-09-06 17:12:03, __main__ DEBUG 101) Bus A1 {'ts': 1662455523430, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29436', 'longitude': '103.77378', 'occupancy': '60.8', 'temp': '22.9'}}
2022-09-06 17:12:04, __main__ DEBUG 102) Bus A1 {'ts': 1662455524444, 'values': {'status': 'on route', 'fuel': '80', 'speed': '52', 'latitude': '1.29426', 'longitude': '103.77369', 'occupancy': '85.2', 'temp': '22.5'}}
2022-09-06 17:12:05, __main__ DEBUG 103) Bus A1 {'ts': 1662455525448, 'values': {'status': 'on route', 'fuel': '80', 'speed': '55', 'latitude': '1.29425', 'longitude': '103.77368', 'occupancy': '61.4', 'temp': '20.2'}}
2022-09-06 17:12:06, __main__ DEBUG 104) Bus A1 {'ts': 1662455526462, 'values': {'status': 'on route', 'fuel': '80', 'speed': '50', 'latitude': '1.29425', 'longitude': '103.77366', 'occupancy': '68.1', 'temp': '22.7'}}
2022-09-06 17:12:07, __main__ DEBUG 105) Bus A1 {'ts': 1662455527473, 'values': {'status': 'on route', 'fuel': '80', 'speed': '56', 'latitude': '1.29425', 'longitude': '103.77365', 'occupancy': '66.5', 'temp': '25.3'}}
2022-09-06 17:12:08, __main__ DEBUG 106) Bus A1 {'ts': 1662455528481, 'values': {'status': 'on route', 'fuel': '80', 'speed': '52', 'latitude': '1.29425', 'longitude': '103.77364', 'occupancy': '59.4', 'temp': '20.1'}}
